ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
5567;DBZB231209;;Face vom Advokat;;DBZB218243;DBZB226104;;ZTP, AD, VPG-1;;0;23-08-2008;;;;;;0;T;Tg;0;;1;0;;;;;;;;;;;;;;;;16-02-2012
5568;DBZB231224;;Bohemia vom Fürstenhof;;03290/2002;DBZB220141;;;;0;16-07-2008;;;;;;0;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;08-10-2011
5569;DBZB232021;7,56E+14;X von Poptime;;CH-624771;DBZB222754;DEVDHCH;ZTP, BH, AD, VPG-1;;0;25-10-2007;A2;;0;0;;0;H;Rg/hv;;;1;0;;;;;;;;;;;;31-01-2013;;;;28-03-2011
5570;DBZB232391;2,76E+14;Mistery von My-Tee;;DBZB228723;DBZB226548;;ZTP, AD;;0;;B1;;0;2;;0;T;Tg/hv;0;ZTP;1;0;;;;;;;;;;;;;;;;26-07-2012
5571;DK03542/2013;;Haica von der Nordheide;;DBZB227163;DBZB225835;;;;0;12-06-2009;B;;0 (DE);ej undersøgt;01-10-2015;94;T;Tg/hv;;ZTP;1;0;;;;;;;;;;;;16-10-2015;;;;25-03-2012
5572;DBZB233788;2,76E+14;Ferrari vom German Dream;;LOI09/150080;DBZB227540;;IPO 1;;0;20-04-2010;A2;;0 (DE);0;01-02-2015;112;H;Rg/hv;;ZTP;1;0;;;;;;;;;;;;19-04-2015;;;;05-02-2012
5573;DBZB233900;9,72E+14;Elastic Lacoste;;MET-BO7041-08;MET-BO6373-07;;ZTP, BK-ogVDHJugendchampion, IPO-1;;0;17-01-2010;B2;;0 (DE);0;;0;H;Rg/hv;0;ZTP;1;0;;;;;;;;;;;;;;;;05-12-2011
5574;DBZB234566;2,76E+14;Jannis vom Godewind;;DBZB223474;DBZB225159;;VDHJugendchampion;;0;07-08-2010;;;;;;0;H;Rg/hv;0;;1;0;;;;;;;;;;;;;;;;24-01-2012
5575;DBZB234893;2,76E+14;Donna--Leon von Cassalina;;LOI06/110019;DBZB224551;;;;0;09-11-2010;;;;;;0;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;09-03-2011
5576;DBZB235312;2,76E+14;Justus vom Gräwig;;NHSB2701366;DBZB230247;;;;0;15-01-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-05-2011
5577;DBZB235652;;Toscana von My-Tee;;DBZB228722;DBZB:230972;;;;0;20-05-2011;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;17-10-2011
5578;DBZB236428;9,41E+14;Elliot Del Sur Y Ole;;F-130874;E-1430941;;ZTP, AD, IPO-1;;0;14-11-2008;B;;0;0;;0;H;Rg/hv;0;ZTP;1;0;;;;;;;;;;;;;;;;26-07-2012
5579;DBZB236442;6,88E+14;Odin von der Burg Singidunum;;LOE1532366;JR75258NB;;AK, /D, ZTP, BH, IPO-1, VPG-1;;0;23-03-2008;A1;;1 (DE);0;;0;H;Tg/hv;;ZTP;1;0;;;;;;;;;;;;28-11-2013;;;;17-07-2012
5580;DBZB236503;2,08E+14;Falka Homecoming Queen;;LOE1958932;DK07434/2009;;;;0;13-06-2011;A1;;0;;;0;T;Tg/hv;;ZTP, AD;;0;;;;;;;;;;;;15-06-2013;;;;23-07-2012
5581;DBZB236536;;Isetta von der Welfenkrone;;DBZB223907;DBZB230823;;;;0;23-11-2011;;;;;;0;T;Tg/hv;;;1;0;;;;;;;;;;;;16-06-2017;;;;05-03-2012
5582;DBZB236537;;Isola von der Welfenkrone;;DBZB223907;DBZB230823;;;;0;23-11-2011;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;21-02-2013;;;;13-04-2012
5583;DBZB25275;;Oleg v. Nassau-Oranien;;DBZB115310;DBZB111441;;;;0;;;;;;;0;H;Rg;1;;0;0;;;;;;;;;;;;;;;;23-07-2008
5584;DBZB26579;;Bianca v. d. Flottbek;;DBZB115310;DBZB114111;;;;0;;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;24-03-2007
5585;DBZB266226;;Fausto v. Eugenese;;UKENDT;UKENDT;;;;0;;;;;;;0;H;Rg;1;;0;0;;;;;;;;;;;;;;;;13-07-2009
5586;DBZB307791;7791;Quilo vom Erlenhaim;;DBZB222327;DRC292523;;;;0;18-04-2005;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;17-07-2008
5587;DBZB97812;;Witherford Hot Chestnut;;KCSB293AT;KC36793/58;;MultiCH, KBSG, SchH-1;;0;;;;;;;0;H;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;27-05-2003
5588;DBZB98629;;Anja v. Steinachtal;;DBZB84805;DBZB91500;;;;0;;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;24-03-2007
5589;DBZB98685;;Cridly v. Schatzkästlein;;DBZB87988;DBZB90600;;;;0;;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;24-03-2007
5590;LOSH728018;;Sanne van Sapho´s Hoeve;;;;;;;0;;;;;;;0;H;Rg;;;;0;;;;;;;;;;;;24-01-2013;;;;19-12-2010
5593;DBZBI-101443;;Cassanova Del Nettuno;;DBZBI-96171;DBZBI-85108;;;;0;;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;19-12-2010
5594;DBZBI26200;;Cara Dels Segadors;;DBZB204509;DBZB199543;;;;0;16-02-1997;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;26-03-2010
5595;DBZBI85801;;Desirec Del Nettuno;;?;?;;;;0;;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;20-12-2010
5596;DBZBI87506;;Magnum Di Massumatico;;XX;XX;;Welt-gd.Sg96, Atibox-Sg98, Int.Champ99, FCI-Europa-Sg99, VPG-3;;0;19-01-1995;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;26-03-2010
5597;DBZBI96171;;Espanol De Las Arillas;;?;?;;;;0;;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;20-12-2010
5598;DBZBL_101443;;Casanova Del Nettuno;;DBZBI96171;DBZBI85801;;;;0;;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;20-12-2010
5599;LOSH2050703;;Universe van de Hazenberg;;LOSH666784;DBZB191832;;;;0;;;;;;;0;T;Rg;;;;0;;;;;;;;;;;;24-01-2013;;;;19-12-2010
5601;DBZB-NR216194;;Anton vom Kurler Busch;;DBZB-NR199726;DBZB-NR209909;;AD, FH-2, VPG-3;;0;03-10-1999;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;01-11-2007
5602;DBZB-NR223638;;Simona von Felix;;DBZB-NR215258;DBZB-NR214060;;AD, VPG-2;;0;07-04-2004;;;;;;0;H;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;01-11-2007
5603;DBZD49363;;Trold;;XX;XX;;;;0;;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;26-05-2006
5604;DK00268/2011;2,08E+14;Sim--Nic´s Carlos;;00035/2008;DK04429/2008;;;;0;19-12-2010;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;04-03-2011
5605;DK00278/2010;2,08E+14;Hearts Of Hope´s Dodge Viper;;N21295/07;21186/2006;;;;0;05-12-2009;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;26-01-2010
5606;DK00279/2010;2,08E+14;Hearts Of Hope´s Dicaprio;;N21295/07;21186/2006;;;;0;05-12-2009;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;26-01-2010
5607;DK00280/2010;2,08E+14;Hearts Of Hope´s Dawn Of Daylight;;N21295/07;21186/2006;DKCH;;;0;05-12-2009;A;0;0 (DK);0;01-08-2014;108;T;Tg/hv;;AK;1;1;;;;;;;;;;;;11-08-2014;;;;26-01-2010
5608;DK00281/2010;2,08E+14;Hearts Of Hope´s Dover;;N21295/07;21186/2006;;;;0;05-12-2009;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;26-01-2010
5609;DK00524/2012;2,08E+14;Carolinekilde´s Iego;;SRB77791;DK19551/2009;;;;0;28-12-2011;D;;;;01-11-2013;80;H;Rg/hv;;;;1;;;;;;;;;;;;10-12-2013;;;;24-02-2012
5610;DK00525/2012;2,08E+14;Carolinekilde´s Ice Man;;SRB77791;DK19551/2009;;;;0;28-12-2011;;;;;;0;H;Fejl;1;;0;0;;;;;;;;;;;;10-12-2013;;;;24-02-2012
5611;DK00526/2012;2,08E+14;Carolinekilde´s Ice Lady;;SRB77791;DK19551/2009;;;;0;28-12-2011;;;;;;0;T;Fejl;0;;0;0;;;;;;;;;;;;10-12-2013;;;;24-02-2012
5612;DK00587/2011;;Skovhøjs Imzo;;02961/2008;DK13102/2008;;;;0;06-12-2010;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;29-04-2019;;;;13-04-2011
5613;DK00588/2011;;Skovhøjs Isma;;02961/2008;DK13102/2008;;;;0;06-11-2010;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5614;DK00589/2011;;Skovhøjs Indi;;02961/2008;DK13102/2008;;;;0;06-12-2010;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5615;DK00590/2011;;Skovhøjs Ines;;02961/2008;DK13102/2008;;;;0;06-12-2010;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5616;DK00591/2011;;Skovhøjs India;;02961/2008;DK13102/2008;;;;0;06-12-2010;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5617;DK00615/2012;2,08E+14;Schwartzbox Henna;;DK14357/2009;21846/2004;DKJV-2012 AK;;;0;22-12-2011;A;0;;3;01-05-2013;112;T;Rg/hv;1;AK;;0;;;;;;;;;;;;01-06-2017;;;;16-02-2012
5618;DK00616/2012;2,08E+14;Schwartzbox Hera;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;T;Rg;1;;;0;;;;;;;;;;;;03-05-2018;;;;16-02-2012
5619;DK00617/2012;2,08E+14;Schwartzbox Haylia;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;T;Rg/hv;;;;0;;;;;;;;;;;;22-01-2013;;;;16-02-2012
5620;DK00618/2012;2,08E+14;Schwartzbox Hexia;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;T;Rg;;;;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5621;DK00619/2012;2,08E+14;Schwartzbox Håkon;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg/hv;1;;;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5622;DK00620/2012;2,08E+14;Schwartzbox Hamsun;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg;1;;;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5623;DK00621/2012;2,08E+13;Schwartzbox Hærman;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg/hv;;;;0;;;;;;;;;;;;20-01-2013;;;;16-02-2012
5624;DK00622/2012;2,08E+14;Schwartzbox Heaven;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg;;;;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5625;DK00623/2012;2,08E+14;Schwartzbox Hogan;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg/hv;;;;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5626;DK00624/2009;2,08E+14;Elipet´s Charlie;;07606/2002;17360/2004;;;;0;13-12-2008;A;;0;;01-09-2010;107;H;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;26-09-2010
5627;DK00624/2012;2,08E+14;Schwartzbox Harlekin;;DK14357/2009;21846/2004;;;;0;22-12-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;08-01-2013;;;;16-02-2012
5628;DK00629/2009;2,08E+14;Elipet´s Cally;;07606/2002;17360/2004;;AK, Bp-B;;0;13-12-2008;A;1;0 (DK);0;01-01-2015;103;T;Tg/hv;;AK;1;1;;;;;;;;;;;;14-01-2015;;;;20-02-2009
5629;DK00704/2012;;Von Phobia Bazim;;NHSB2755971;21130/2007;;;;0;24-12-2011;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;01-04-2012
5630;DK00706/2012;2,08E+14;Von Phobia Brina;;NHSB2755971;DK21130/2007;BH, IPO V, AD, IPO 1,Dansk Champion, Dansk vinder 2013, DKV2015, KBHV'16 ;Jahresjugendsieger Schweiz 2012, Jahresjugendsieger Holland 2013, Årets Guldhund 2015, DKK-Racevinder 2015;;0;24-12-2011;B;0;;;01-02-2013;97;T;Rg;;;;0;;;;;;;;;;;;24-11-2016;;;;20-04-2012
5631;DK008276;2,08E+14;Fie;;12100/98;14162/98;;;;0;27-02-2003;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;11-07-2010
5632;DK00901/2011;2,08E+14;Spirgårdens Sofia;;17443/2004;DK23720/2008;AK;;;0;27-12-2010;A;0;0 (DK);0;01-12-2014;109;T;Rg/hv;1;AK;;1;;;;;;;;;;;;22-09-2020;;;;26-02-2012
5633;DK00910/2011;2,08E+14;Charlie;;02961/2008;05492/2007;;;;0;16-12-2010;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;16-02-2011
5634;DK00926/2010;2,08E+14;Spirgårdens Rubin;;DK23080/2007;06192/2003;;AK;;0;20-12-2009;B;0;1;1;01-10-2012;103;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;13-02-2010
5635;DK00928/2010;2,08E+14;Spirgårdens Randi;;DK23080/2007;06192/2003;;;;0;20-12-2009;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;08-03-2010
5636;DK00972/2011;2,08E+14;Boxer Hjemmet´s Apple;;12205/2006;DK03603/2008;AK;;;0;23-12-2010;B;0;1 (DK);0;01-03-2013;90;T;Rg/hv;;AK;;1;;;;;;;;;;;;12-08-2013;;;;15-05-2011
5637;DK00974/2011;;Boxer Hjemmet´s Al Capone;;12205/2006;DK03603/2008;;;;0;23-12-2010;;;;;;0;H;Rg/hv;;;1;0;;;;;;;;;;;;31-03-2013;;;;22-11-2011
5638;DK01021/2012;2,08E+14;Kamabox´ Eleqtra;;DBZB227163;DK08022/2008;AK;;;0;04-01-2012;B;0;0 (DK);0;01-01-2016;95;T;Tg/hv;;AK;1;0;;;;;;;;;;;;28-01-2016;;;;28-02-2012
5639;DK01114/2009;D01114;Sim-Nics Becca;;16446/2004;15137/2005;;;;0;28-12-2008;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;28-05-2009
5640;DK01128/2009;9,68E+14;Honeybox Champagne;;S53078/2001;S58982/2005;;AK;;0;22-08-2008;B;0;0;2;01-08-2010;101;T;Tg/hv;0;AK;0;1;;;;;;;;;;;;;;;;31-12-2008
5641;DK01279/2007;;Taquina vom Okeler Forst;;DBZB220928;DBZB223351;;;;0;26-03-2006;A;;1;;06-10-2008;135;T;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;11-07-2007
5642;DK01443/2009;2,08E+14;Schwartzbox Eyecja;;22200/2006;19657/2006;DKCH, DEVDHCH;BK-HVALPEÅrsvinder-2009, AK, BK-Årsvinder-2011;;0;30-12-2008;B;0;0 (DK);3;01-06-2012;105;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;12-11-2015;;;;21-02-2009
5643;DK01444/2009;2,08E+15;Schwartzbox Eikon;;22200/2006;19657/2006;;AK;;0;30-12-2008;A;0;0;2;01-08-2010;116;H;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;21-02-2009
5644;DK01445/2009;2,08E+14;Schwartzbox Elton;;22200/2006;19657/2006;;;;0;30-12-2008;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;21-02-2009
5645;DK01446/2009;2,08E+14;Schwartzbox Evan;;22200/2006;19657/2006;;;;0;30-12-2008;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;21-02-2009
5646;DK01447/2009;2,08E+14;Schwartzbox Elan;;22200/2006;19657/2006;;;;0;30-12-2008;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;21-02-2009
5647;DK01501/2010;2,08E+14;Boxon Djarko;;06040/2002;21895/2006;;;;0;30-11-2009;A;0;;;01-08-2011;117;H;Rg;;AK;1;1;;;;;;;;;;;;08-04-2019;;;;27-01-2011
5648;DK01503/2010;;Boxon D´arnold;;06040/2002;21895/2006;;;;0;30-11-2009;;;;;;0;H;Rg/hv;0;;1;0;;;;;;;;;;;;;;;;02-10-2012
5649;DK01504/2010;2,08E+14;Boxon Dassi Dali;;06040/2002;21895/2006;AK, MB, FP, Bp-B;;;0;30-11-2009;A;0;0;1;01-01-2013;119;T;Rg/hv;;AK;1;1;;;;;;;;;;;;21-12-2020;;;;15-05-2010
5650;DK01589/2010;;Chinoki´s Lobo;;DBZB228023;DK01279/2007;;;;0;12-01-2010;;;;;;0;H;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;02-04-2010
5651;DK01590/2010;;Chinoki´s Lucy;;DBZB228023;DK01279/2007;DEVDHCH;BK-HVALPEÅrsvinder-2010, ZTP, BH, AD, VPG-1;;0;12-01-2010;A;0;0;0;01-05-2011;114;T;Rg/hv;0;ZTP;1;0;;;;;;;;;;;;;;;;02-04-2010
5652;DK01592/2910;;Chinoki´s Lotus;;DBZB228023;DK01279/2007;;;;0;12-01-2010;;;;;;0;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;02-04-2010
5653;DK01633/2011;2,08E+14;Bostobox Woody;;PKR11-95994;DK11791/2007;;;;0;07-01-2011;;;;;;0;H;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;02-04-2011
5654;DK01634/2011;2,08E+14;Bostobox Wesley;;PKR11-95994;DK11791/2007;;;;0;07-01-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;02-04-2011
5655;DK01635/2011;2,08E+14;Bostobox Wasco;;PKR11-95994;DK11791/2007;PLCH, FP, UPr 1, IPO 1, IPO 2, IPO 3;;;0;07-01-2011;A;0;0 (DE);0;01-03-2018;114;H;Rg/hv;1;AK;1;1;;;;;;;;;;;;19-03-2020;;;;02-04-2011
5656;DK01637/2011;2,08E+14;Bostobox Whoopi;;PKR11-95994;DK11791/2007;;;;0;07-01-2011;;;;;;0;T;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;02-04-2011
5657;DK01771/2010;2,08E+14;Tisobox Benja;;20207/2004;01284/2005;;;;0;11-01-2010;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;26-04-2010
5658;DK01772/2010;2,08E+14;Tisobox Biba;;20207/2004;01284/2005;;;;0;11-01-2010;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;26-04-2010
5659;DK01773/2010;2,08E+14;Tisobox Birna;;20207/2004;01284/2005;;;;0;11-01-2010;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;26-04-2010
5660;DK01774/2010;2,08E+14;Tisobox Berta;;20207/2004;01284/2005;;;;0;11-01-2010;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;26-04-2010
5661;DK01775/2010;2,08E+14;Tisobox Becky;;20207/2004;01284/2005;;;;0;11-01-2010;;;;;;0;T;Fejl;1;;0;0;;;;;;;;;;;;;;;;26-04-2010
5662;DK01879/2009;2,08E+14;Diva;;21847/2004;12431/2005;;;;0;20-01-2009;;;;;;0;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;25-10-2010
5663;DK01882/2009;2,08E+14;Dolph;;21847/2004;12431/2005;;;;0;20-01-2009;;;;;;0;H;Rg;0;;1;0;;;;;;;;;;;;;;;;12-07-2012
5664;DK01885/2009;2,08E+14;Dazzler;;21847/2004;12431/2005;;;;0;20-01-2009;;;;;;0;H;Tg;0;;0;1;;;;;;;;;;;;;;;;27-10-2012
5665;DK01887/2011;2,08E+15;Skovhøjs Joka;;DK02961/2008;08064/2005;;;;0;10-01-2011;A;;0 (DK);0;01-04-2018;113;T;Rg;;AK;1;0;;;;;;;;;;;;03-05-2018;;;;14-04-2011
5666;DK01888/2011;;Skovhøjs Jette;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5667;DK01889/2011;;Skovhøjs Julius;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5668;DK01890/2011;;Skovhøjs Jolly;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5669;DK01891/2011;2,08E+14;Skovhøjs Joker;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5670;DK01892/2011;;Skovhøjs Julle;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5671;DK01893/2011;;Skovhøjs Zeus;;02961/2008;08064/2005;;;;0;10-01-2011;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;14-04-2011
5672;DK01972/2012;2,08E+14;Arnakkekilden´s Gambrinus;;DBZB227163;DK07062/2009;;;;0;18-01-2012;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;01-04-2012
5673;DK01973/2012;2,08E+14;Arnakkekilden´s Galliano;;DBZB227163;DK07062/2009;;;;0;18-01-2012;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;01-04-2012
5674;DK01974/2012;2,08E+14;Arnakkekilden´s Guinness;;DBZB227163;DK07062/2009;;;;0;18-01-2012;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;01-04-2012
5675;DK01975/2012;2,08E+14;Arnakkekilden´s Gipsy Queen;;DBZB227163;DK07062/2009;;;;0;18-01-2012;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;01-04-2012
5676;DK01976/2012;2,08E+14;Arnakkekilden´s Glorious Gina G.;;DBZB227163;DK07062/2009;;;;0;18-01-2012;B;0;0 (DK);0;01-02-2015;95;T;Rg/hv;;AK;1;0;;;;;;;;;;;;24-02-2015;;;;01-04-2012
5677;DK02189/2012;2,76E+14;L´amour vom Advokat;;DBZB233900;DBZB231209;DEVDHCH;MB, FP, AK;;0;15-10-2011;A;0;1 (DK);1;01-08-2014;100;T;Rg/hv;;AK;1;1;;;;;;;;;;;;27-05-2015;;;;16-02-2012
5678;DK02249/2010;;Skovhøjs Hector;;02961/2008;08064/2005;;;;0;20-01-2010;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;13-04-2011
5679;DK02297/2011;2,08E+14;Hellapes Boxi;;PKR92226;13536/2006;;AK;;0;06-01-2011;B;0;0(DK);;01-09-2012;95;T;Rg/hv;;AK;1;0;;;;;;;;;;;;09-02-2017;;;;07-11-2011
5680;DK02299/2011;2,08E+14;Hellapes Beaty Girl;;PKR92226;13536/2006;;;;0;06-01-2011;A;0;1 (DK);0;01-12-2017;96;T;Rg/hv;;AK;1;0;;;;;;;;;;;;20-12-2017;;;;07-11-2011
5681;DK02403/2008;9,77E+13;Andilla´s Chessie Of Sweden;;NHSB2552911;S50077/2003;;;;0;01-12-2007;B;;2;0;01-04-2013;98;T;Rg;;AK;1;0;;;;;;;;;;;;27-04-2013;;;;11-02-2008
5682;DK02422/2012;2,08E+14;Næsby Daddy;;VDH/DBZB228109;DK08017/2008;;;;0;20-01-2012;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;05-08-2012
5683;DK02570/2007;B02570 ;Moesgaard´s Caia;;03290/2002;13986/2001;;;;0;31-12-2006;C;;;;22-09-2008;96;T;Tg/hv;0;AK;0;0;;;;;;;;;;;;;;;;07-10-2008
5684;DK02572/2007;B02572;Moesgaard´s Cæsar ;;03290/2002;13986/2001;;AK;;0;31-12-2006;B;;;;01-02-2011;103;H;Tg/hv;0;AK;1;0;;;;;;;;;;;;;;;;08-01-2008
5685;DK02638/2011;2,76E+14;Ennox vom Brömchen;;DBZB227712;DBZB224109;AK, FP, IPO 1;ZTP, UHP;;0;29-10-2010;B;0;0 (DE);0;01-12-2014;96;H;Rg/hv;;AK;1;1;;;;;;;;;;;;30-12-2014;;;;21-02-2011
5686;DK02639/2011;2,76E+14;Prinz von der Burg Rabeneck;;DBZB224064;DBZB228697;;;;0;05-06-2010;B;0;;;01-06-2011;92;H;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;28-02-2011
5687;DK02683/2010;2,08E+14;De-Box Baron Rosso;;21162/2004;15812/2006;;;;0;06-02-2010;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;27-05-2010
5688;DK02963/2008;2,08E+14;Von Ellinghaus Olerry;;08770/2005;21010/2002;;;;0;24-12-2007;;;;;;0;H;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;28-10-2009
5689;DK02964/2008;2,08E+14;Von Ellinghaus O`zimba;;08770/2005;21010/2002;;;;0;24-12-2007;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;21-03-2008
5690;DK03007/2009;2,76E+14;Dara von der Wiedemannspforte;;DBZB222992;DBZB220850;DKCH;AK, ZTP, FP;;0;01-11-2008;B;0;0;2;01-08-2012;92;T;Tg/hv;;AK;1;1;;;;;;;;;;;;14-02-2014;;;;13-02-2009
5691;DK03164/2008;C03164;Faiby´s Honey;;DBZB218688;04856/2005;;;;0;28-01-2008;B;;0 (DK);1;01-08-2011;102;T;Rg/hv;0;AK;1;0;;;;;;;;;;;;10-08-2013;;;;18-04-2010
5692;DK03233/2009;2,08E+14;Præstebro´s Felix;;11970/2006;20968/2006;;;;0;31-01-2009;;;;;;0;H;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;18-09-2009
5693;DK03234/2009;2,08E+14;Præstebro`s Frodo;;11970/2006;20968/2006;;BK-HVALPEÅrsvinder-2009;;0;31-01-2009;A;0;0;2;01-06-2010;114;H;Tg/hv;0;AK;1;1;;;;;;;;;;;;;;;;16-05-2009
5694;DK03348/2012;2,08E+14;Bekkaylabox Alcon;;SLRNB002599;DK22316/2009;;;;0;31-01-2012;A;0;0 (DK);0;01-06-2018;120;H;Rg/hv;;AK;1;1;;;;;;;;;;;;25-01-2020;;;;12-03-2012
5695;DK03349/2012;2,08E+14;Bekkaylabox Agassi;;SLRNB002599;DK22316/2009;;;;0;31-01-2012;A;1;0 (DK);0;01-04-2014;117;H;Tg/hv;;;;1;;;;;;;;;;;;21-04-2014;;;;12-03-2012
5696;DK03350/2012;2,08E+14;Bekkaylabox Amigo;;SLRNB002599;DK22316/2009;;;;0;31-01-2012;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;26-03-2014;;;;12-03-2012
