ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
2039;13033/96;;Damkjær´s Frohni;;LOSH710534;19638/90;;;;0;21-05-1996;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2040;13034/90;;Begum v. Struller Brink;;DBZB184125;DBZB185500;;;;0;04-01-1990;B2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2041;13046/78;;Klabauterheims Pascha;;16827/73;26542/76;;;;0;14-05-1978;0;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2042;13070/2001;;Jenti´s Macy;;DBZB204377;05457/99;;;;0;;E;;;;25-04-2004;75;T;Rg;0;;1;0;;;;;;;;;;;;;;;;23-08-2004
2043;13072/2001;T24859;Jenti´s Malou;;DBZB204377;05457/99;;AK, Bp-AB, Bp-B, SPH-1, FP;;0;17-06-2001;A;;;;27-10-2003;115,3199997;T;Rg;0;AK;1;0;;;;;;;;;;;;;;;;04-01-2003
2044;13073/2001;;Jenti´s Mummie;;DBZB204377;05457/99;;;;0;17-06-2001;E;;;;;0;T;Rg;0;;1;0;;;;;;;;;;;;;;;;18-04-2003
2045;DK13097/2008;C13097;Dyrup-Box´s Bonzo;;DBZB223906;11926/2005;;;;0;02-06-2008;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;10-08-2008
2046;13118/2005;Z12643;Rodsted`s Gayus;;DBZB218656;01022/2001;;;;0;10-06-2005;D;0;;;29-01-2007;103,2600021;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;06-08-2005
2047;13119/2005;Z12644;Rodsted`s Gaia;;DBZB218656;01022/2001;;;;0;10-06-2005;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;06-08-2005
2048;13154/2005;2,50E+13;Val D´isere Du Puits Calin;;LOF117611;LOF111364;;;;0;08-12-2004;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;15-07-2005
2049;13157/82;;Klavizis Jolly;;DBZB158898;20632/80;;;;0;12-03-1982;B1;;;;;0;T;;;AK;;0;;;;;;;;;;;;21-01-2013;;;;
2050;13158/82;;Klavizis Judy;;DBZB158898;20632/80;;;;0;12-03-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2051;13159/2006;191003;Bianca Shucky A.c. ;;DBZB220106;HR11176;;;;0;19-08-2003;A;;;;14-02-2009;135;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;03-05-2007
2052;13166/86;;Chinoki´s Dessa;;DBZB154316;15549/78;;;;0;15-05-1986;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2053;13170/80;;Cæsar;;21096/78;25115/78;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2054;13179/97;;Boxbrandenburgs Bonita;;15055/91;08958/94;;;;0;31-05-1997;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2055;13181/97;;Boxbrandenburgs Bianca;;15055/91;08958/94;;;;0;31-05-1997;;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
2056;13194/80;;Klavizis Elke;;DBZB137474;04751/79;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2057;13195/80;;Klavizis Elfi;;DBZB137474;04751/79;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2058;13196/80;;Klavizis Eylin;;DBZB137474;04751/79;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2059;13212/84;;Champers Jutta;;08265/81;38683/81;;;;0;11-04-1984;A2;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
2060;13213/84;;Champers Jessie;;08265/81;38683/81;;;;0;11-04-1984;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2061;13214/84;;Champers Jiffer;;08265/81;38683/81;;;;0;11-04-1984;D2;;;;;0;H;;0;AK;0;0;;;;;;;;;;;;;;;;
2062;13215/84;;Champers Jeddy;;08265/81;38683/81;;;;0;11-04-1984;;;;;;0;H;Tg;0;AK;0;0;;;;;;;;;;;;;;;;
2063;13220/81;;Boxerhusets Nuggi;;NHSB640016;06038/76;;;;0;07-04-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2064;13221/81;;Boxerhusets Nadja;;NHSB640016;06038/76;;;;0;07-04-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2065;13222/81;;Boxerhusets Nellie Leica;;NHSB640016;06038/76;;;;0;07-04-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2066;13236/2003;;Hyberggaard´s Feida;;09142/2000;09377/97;;;;0;23-06-2006;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;21-10-2008
2067;13236/73;;Buller;;;;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2068;13244/97;;Tvede´s Pearl;;04352/95;15395/92;;Bp-B;;0;14-06-1997;A2;;;;;0;T;Rg/hv;0;;1;0;;;;;;;;;;;;;;;;
2069;13246/97;N25159;Tvede´s Pepita;;04352/95;15395/92;;;;0;14-06-1997;;;;;;0;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
2070;13250/88;;Balu;;32041/83;20768/85;;;;0;08-05-1988;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2071;13251/88;;Barney;;32041/83;20768/85;;;;0;08-05-1988;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2072;13252/97;;Tvede´s Pari;;04352/95;15395/92;;;;0;14-06-1997;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2073;13277/92;;Totters Imperatrice;;23267/88;22056/86;;;;0;15-04-1992;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2074;13284/82;;Dora;;36414/80;01812/80;;;;0;23-04-1982;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2075;13295/90;;Dynamo Ockey;;05494/88;04855/88;;;;0;17-03-1990;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2076;13298/83;;Jordening Dina;;10787/81;14738/78;;;;0;30-03-1983;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2077;13300/83;;Jordening Dessiller;;10787/81;14738/78;;;;0;30-03-1983;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2078;13301/83;;Jordening Dominic;;10787/81;14738/78;;;;0;30-03-1983;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2079;13315/90;;Næsby Unig;;06813/86;02161/88;;;;0;12-05-1990;B2;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2080;13319/2003;V12870;Enriqes von Ellinhaus;;DBZB218123;18809/96;;;;0;11-06-2003;B;;;;06-12-2004;101,9800034;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;18-03-2004
2081;13320/2003;V12871;Von Ellinghaus Equitta;;DBZB218123;18809/96;;;;0;11-06-2003;A;;;;11-06-2007;109,6100006;T;Tg/hv;1;AK;0;0;;;;;;;;;;;;;;;;09-08-2003
2082;13324/90;;Boxerhusets Eika;;28119/87;03723/87;;;;0;05-05-1990;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2083;13326/2004;BHGXTD;Charlie van Bakelsglorie;;LOSH0874484;LOSH0871562;;;;0;18-04-2003;B;;;;29-08-2004;112,8099976;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;29-08-2004
2084;13327/90;;Boxerhusets Enzo;;28119/87;03723/87;;;;0;05-05-1990;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2085;13328/90;;Boxerhusets Ergo;;28119/87;03723/87;;;;0;05-05-1990;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2086;13330/90;;Boxerhusets Emeli;;28119/87;03723/87;;;;0;05-05-1990;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2087;13350/75;;Totters Wee Tiger-Dear;;21981/71;03535/72;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2088;13351/91;;Bostobox Thor;;DBZB187870;06573/89;;;;0;18-05-1991;A2;;;;;0;H;Tg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2089;13352/91;;Bostobox Trol;;DBZB187870;06573/89;;;;0;18-05-1991;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2090;13355/91;;Bostobox Theo;;DBZB187870;06573/89;;;;0;18-05-1991;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2091;13357/2004;X12911  ;Ofelia;;00792/99;13070/2001;;;;0;20-05-2004;A;;;;25-04-2009;115;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;26-04-2009
2092;13358/2004;x12912;Offi;;00792/99;13070/2001;;;;0;20-05-2004;;;;;;0;T;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;21-08-2004
2093;13358/91;;Bostobox Trine;;DBZB187870;06573/89;;;;0;18-05-1991;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2094;13359/91;;Bostobox Tessa;;DBZB187870;06573/89;;;;0;18-05-1991;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2095;13390/87;;Basse;;28383/77;07929/83;;;;0;08-05-1987;A2;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2096;13391/87;;Schnadderhüfel;;28383/77;07929/83;;;;0;08-05-1987;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
